TAXNAME,X.x,dbase,LATITUDE,LONGITUDE,qual,LOCDSCRP,elevation,X.y,Major_clade,Subclade,Section,alt,LATITUDE.r,LONGITUDE.r
abrotanifolium,160,precis_hugo,-34.375,20.625,good,Malgas. Roadside.,111,1,B,B,.,152,-34.38,20.63
abrotanifolium,201,precis_hugo,-34.375,21.375,good,RIVERSDALE; KORENTE RIVER DAM; FOREST ON HILL,100,1,B,B,.,79,-34.38,21.38
abrotanifolium,193,precis_hugo,-34.33611,20.75528,good,Rhenosterfontein on Slang R.,50,1,B,B,.,75,-34.34,20.76
abrotanifolium,159,precis_hugo,-34.30167,20.58889,good,Malgas at Breederivier.,37,1,B,B,.,67,-34.3,20.59
abrotanifolium,10,precis_hugo,-34.25444,20.86944,good,14.6m. S.S.W. of Heidelberg: salt pan,104,1,B,B,.,99,-34.25,20.87
abrotanifolium,99,precis_hugo,-34.25444,20.99444,good,Duivenhoks R.,46,1,B,B,.,47,-34.25,20.99
abrotanifolium,71,precis_hugo,-34.23611,20.66667,good,c.7m. N.E. of Malagas,178,1,B,B,.,154,-34.24,20.67
abrotanifolium,39,precis_hugo,-34.20889,21.68806,good,"Aasvoelberg, E.end",230,1,B,B,.,150,-34.21,21.69
abrotanifolium,120,precis_hugo,-34.18167,21.74167,good,Gouritz R.,53,1,B,B,.,35,-34.18,21.74
abrotanifolium,31,precis_hugo,-34.16972,19.24722,good,7.5m. S.S.E. of Eerstehoop P.O.,203,1,B,B,.,261,-34.17,19.25
abrotanifolium,208,precis_hugo,-34.16361,21.30083,good,Soetmelks R. (bottom),100,1,B,B,.,104,-34.16,21.3
abrotanifolium,223,precis_hugo,-34.125,20.375,good,Swellendam Dist. Bonnievale. Kloof above village.,145,1,B,B,.,154,-34.13,20.38
abrotanifolium,224,precis_hugo,-34.125,20.375,good,SWELLENDAM DIV.; WATERKLOOF,145,1,B,B,.,154,-34.13,20.38
abrotanifolium,91,precis_hugo,-34.125,20.875,good,DOORN RIVER; 9 MI. FROM DOORN RIVER ALONG ROAD TO KLIP DRIFT,210,1,B,B,.,198,-34.13,20.88
abrotanifolium,197,precis_hugo,-34.125,21.125,good,RIVERSDALE AREA; JUST OUTSIDE TOWN AT TURNOFF TO VERMAAKLIK- HEIDS / BLOMBOS. AMONGST ROCKS,168,1,B,B,.,154,-34.13,21.13
abrotanifolium,177,precis_hugo,-34.125,21.125,good,"On road between Heidelberg and Vermaaklikheid, at turnoff to Duiwenhoksrivier at Dassenklip.",168,1,B,B,.,154,-34.13,21.13
abrotanifolium,196,precis_hugo,-34.125,21.375,good,RIVERSDALE,230,1,B,B,.,209,-34.13,21.38
abrotanifolium,199,precis_hugo,-34.125,21.375,good,RIVERSDALE; 2 KM W OF RIVERSDALE,230,1,B,B,.,209,-34.13,21.38
abrotanifolium,200,precis_hugo,-34.125,21.375,good,Riversdale; Airport.,230,1,B,B,.,209,-34.13,21.38
abrotanifolium,202,precis_hugo,-34.125,21.375,good,RIVERSDALE; SOETMELKS RIVER; 1 KM NW OF BRIDGE ON MAIN ROAD,230,1,B,B,.,209,-34.13,21.38
abrotanifolium,169,precis_hugo,-34.125,21.375,good,Naby Riversdal langs Nasionale Pad.,230,1,B,B,.,209,-34.13,21.38
abrotanifolium,45,precis_hugo,-34.125,21.375,good,"ASSEGAAIBOSCHFONTEIN; AREA, ALONG ROAD BETWEEN RIVERSDALE AND HERBERTSDALE.",230,1,B,B,.,209,-34.13,21.38
abrotanifolium,203,precis_hugo,-34.125,21.375,good,RIVERSDALE; TOLANGE FARM. ON MAIN ROAD NEAR FARM GATE,230,1,B,B,.,209,-34.13,21.38
abrotanifolium,198,precis_hugo,-34.125,21.625,good,RIVERSDALE DIV.; ALBERTINIA,137,1,B,B,.,70,-34.13,21.63
abrotanifolium,12299,Bolus,-34.11,21.26167,good,Near Riversdale,137,1,B,B,.,137,-34.11,21.26
abrotanifolium,25,precis_hugo,-34.10444,21.25806,good,2m. S. of Riversdale,199,1,B,B,.,229,-34.1,21.26
abrotanifolium,209,precis_hugo,-34.1,21.39222,good,Soetmelks R. (top),193,1,B,B,.,200,-34.1,21.39
abrotanifolium,12300,Bolus,-34.08776,21.64428,good,Riversdale Div.; Onverwacht,216,1,B,B,.,216,-34.09,21.64
abrotanifolium,24,precis_hugo,-34.08611,20.61278,good,28-29m. N.W. of Whitesands,196,1,B,B,.,226,-34.09,20.61
abrotanifolium,12298,Bolus,-34.07914,21.21051,good,"Riversdale. ""Oakdale""",152,1,B,B,.,152,-34.08,21.21
abrotanifolium,35,precis_hugo,-34.04083,20.83306,good,8m. W.N.W. of Heidelberg,297,1,B,B,.,335,-34.04,20.83
abrotanifolium,250,precis_hugo,-34.0225,21.58056,good,Wydersrivier,155,1,B,B,.,170,-34.02,21.58
abrotanifolium,12288,Bolus,-33.98333,18.4264,good,Hort. Kirstenbosch,175,1,B,B,.,175,-33.98,18.43
abrotanifolium,12291,Bolus,-33.916667,20.4,good,Between Montagu and Barrydale,558,1,B,B,.,558,-33.92,20.4
abrotanifolium,12290,Bolus,-33.9162,20.0812,good,Swellendam Div.; near Bonnievale,168,1,B,B,.,168,-33.92,20.08
abrotanifolium,37,precis_hugo,-33.90444,24.15194,good,9.3m. W. by N. of Karreedouw,300,1,B,B,.,365,-33.9,24.15
abrotanifolium,248,precis_hugo,-33.875,19.625,good,Worcester District: Ouhangsberg. Lower Southern slopes South East of Beacon 152 karroid scrub.,400,1,B,B,.,445,-33.88,19.63
